Dataflow,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,TC_BORROWERS:Borrowing sector,TC_LENDERS:Lending sector,VALUATION:Valuation,UNIT_TYPE:Unit type,TC_ADJUST:Type of adjustment,TIME_PERIOD:Time period or range,OBS_VALUE:Observation Value,COLLECTION:Collection Indicator,UNIT_MULT:Unit Multiplier,UNIT_MEASURE:Unit of measure,TITLE_TS:Title (tseries level),OBS_STATUS:Observation Status,OBS_PRE_BREAK:Pre-Break Observation,OBS_CONF:Observation Confidentiality
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1971-Q3,70.2,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1971-Q4,71.7,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1972-Q1,71.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1972-Q2,72.2,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1972-Q3,72.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1972-Q4,74.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1973-Q1,75.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1973-Q2,76.5,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1973-Q3,77.4,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1973-Q4,78.6,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1974-Q1,77.2,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1974-Q2,77.3,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1974-Q3,78.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1974-Q4,80.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1975-Q1,80.6,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1975-Q2,81.5,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1975-Q3,81.8,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1975-Q4,83.4,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1976-Q1,82.8,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1976-Q2,84.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1976-Q3,84.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1976-Q4,85,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1977-Q1,83.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1977-Q2,82.8,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1977-Q3,80.8,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1977-Q4,80.3,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1978-Q1,78.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1978-Q2,77.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1978-Q3,75.5,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1978-Q4,75.2,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1979-Q1,74.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1979-Q2,74.5,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1979-Q3,74.2,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1979-Q4,74.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1980-Q1,74.7,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1980-Q2,74.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1980-Q3,75.3,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1980-Q4,76.7,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1981-Q1,76.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1981-Q2,78.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1981-Q3,79,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1981-Q4,81.5,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1982-Q1,80.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1982-Q2,81.4,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1982-Q3,81.5,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1982-Q4,82.6,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1983-Q1,82.2,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1983-Q2,82.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1983-Q3,81,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1983-Q4,82,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1984-Q1,79.4,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1984-Q2,79.6,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1984-Q3,77.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1984-Q4,79,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1985-Q1,76.1,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1985-Q2,76.3,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1985-Q3,74.6,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1985-Q4,75.3,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1986-Q1,71.8,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1986-Q2,71.5,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1986-Q3,69.7,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1986-Q4,70.6,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1987-Q1,68.6,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1987-Q2,68.9,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1987-Q3,67.6,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1987-Q4,69.2,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1988-Q1,67.7,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1988-Q2,68.3,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
BIS:WEBSTATS_TOTAL_CREDIT_DATAFLOW(2.0): BIS long series on total credit,Q: Quarterly,ES: Spain,P: Private non-financial sector,A: All sectors,M: Market value,770: Percentage of GDP,A: Adjusted for breaks,1988-Q3,68.8,E: End of period,0: Units,367: Per Cent,Spain - Credit to Private non-financial sector from All sectors at Market value - Percentage of GDP - Adjusted for breaks,A: Normal value,,F: Free
